place_geoid,placenm,place_pop,poverty_perc,agg_investment_perhh,federal_perhh,mission_lending_perhh,small_business_lending_persbemp,ACII_loans_peremp,HMDA_SF_perSFhh,HMDA_MF_perMFhh
3651000,"New York, NY",8419316,0.18407093,15419.333,359.198304,249.68948,3319.654,4624.11067,17958.86,4180.239
644000,"Los Angeles, CA",3958236,0.18893408,24355.992,198.825183,342.6638,5010.671,7502.30301,27051.274,8495.895
1714000,"Chicago, IL",2708837,0.1961173,20449.54,189.837814,410.32728,4981.166,8648.30079,16165.457,3998.154
4835000,"Houston, TX",2216995,0.20279112,17513.022,145.465171,104.51394,5570.484,5204.08751,14771.866,2700.613
455000,"Phoenix, AZ",1623042,0.19157485,21690.491,120.259612,99.23917,5614.327,6456.03423,17750.269,5042.824
4260000,"Philadelphia, PA",1579075,0.24380579,13170.139,156.447303,298.08728,4231.545,5472.05868,8936.805,8616.797
4865000,"San Antonio, TX",1472533,0.18579064,14796.973,129.140319,212.25195,4906.462,5760.38919,9295.705,4021.492
666000,"San Diego, CA",1397114,0.13849751,25693.931,156.384589,196.39764,4856.598,6623.36778,27544.83,5918.495
4819000,"Dallas, TX",1338803,0.19856973,18867.966,81.659799,134.27752,5794.091,6027.86286,16266.188,3439.231
668000,"San Jose, CA",996048,0.10062223,28268.707,164.593814,158.21326,4423.643,6329.04746,29293.859,7145.71
1235000,"Jacksonville, FL",896027,0.16102046,12664.709,72.451772,94.69985,4666.136,2333.53135,12276.344,4763.849
4805000,"Austin, TX",895544,0.15261985,26056.978,338.545311,139.69128,5473.625,8042.11844,23279.494,5135.905
667000,"San Francisco, CA",874961,0.11958074,30813.394,408.103149,410.83085,4204.279,6015.10642,36599.206,9247.116
1836003,"Indianapolis, IN",867836,0.19384734,18245.344,188.968954,131.67659,6138.874,6736.86302,9779.126,4371.325
4827000,"Fort Worth, TX",857013,0.16542389,20496.796,202.73046,113.61503,6718.937,8194.3098,14388.39,4670.984
3712000,"Charlotte, NC",829406,0.14608682,25466.792,139.244253,154.28515,6676.156,6602.75028,20183.118,6259.269
3918000,"Columbus, OH",791886,0.21048145,14773.066,159.884876,112.30127,5223.78,5075.67884,9979.686,6026.293
5363000,"Seattle, WA",724209,0.12233381,33275.569,557.755733,274.2425,4612.192,6159.73566,34200.349,6275.687
820000,"Denver, CO",705576,0.14654847,33820.266,668.834306,277.35206,6788.109,8944.39189,30016.023,7124.175
1150000,"Washington, DC",692683,0.16591605,34959.863,244.984608,819.33914,3425.458,7837.98542,37357.103,5302.402
2507000,"Boston, MA",684312,0.20103271,25211.363,505.263162,446.20961,4060.362,4734.50841,31567.992,6567.306
2622000,"Detroit, MI",674841,0.36910927,6271.049,395.604638,460.77174,2877.753,5391.16357,1043.953,1070.615
4752006,"Nashville, TN",659524,0.16872275,21277.296,140.507432,133.62247,6494.883,5136.44421,18392.974,4970.342
4055000,"Oklahoma City, OK",653380,0.16548716,17016.85,186.969814,162.68312,5763.161,4896.49699,12371.011,5011.11
2148006,"Louisville, KY",649014,0.16713325,15140.075,253.413574,126.90408,6271.321,4990.789,10669.805,3980.953
4159000,"Portland, OR",644934,0.15893355,24250.677,181.578158,271.28103,4608.881,6233.07287,21631.32,6768.885
4748000,"Memphis, TN",637367,0.25633534,12025.163,203.062145,363.04944,4427.834,4855.78092,5971.902,2704.441
4824000,"El Paso, TX",635683,0.2143408,11624.491,214.3082,811.04512,4776.624,4939.35792,6612.531,2569.278
3240000,"Las Vegas, NV",627430,0.16025757,18600.131,114.923245,90.69068,4574.325,9207.01171,16976.169,4078.033
2404000,"Baltimore, MD",609032,0.21938224,12280.631,389.720356,542.0446,3672.431,4218.53489,9857.085,4651.993
5553000,"Milwaukee, WI",594722,0.26148237,13366.147,331.673893,506.91236,4335.047,4422.14131,5837.399,3954.372
3502000,"Albuquerque, NM",518720,0.18439474,15782.401,225.325962,253.10075,4176.394,6785.831,9782.802,3679.661
477000,"Tucson, AZ",496358,0.24690565,10613.214,152.577183,161.7549,4097.762,4735.60692,8409.86,2663.514
2938000,"Kansas City, MO",487301,0.1744169,19214.321,143.570753,480.88667,4667.271,7456.07607,11580.03,5639.453
446000,"Mesa, AZ",485428,0.1560415,18003.125,113.347522,40.13746,6030.282,8449.65277,16212.521,4358.483
664000,"Sacramento, CA",481157,0.18745482,17120.079,213.926397,126.24297,3836.15,5767.67856,18098.989,6193.698
1304000,"Atlanta, GA",478991,0.21201831,26033.738,692.877251,402.29696,6271.365,4809.93319,28169.911,4012.658
627000,"Fresno, CA",474866,0.27187547,12724.589,168.963869,153.47291,3388.613,4575.071,12415.453,4515.241
643000,"Long Beach, CA",468759,0.17572378,18116.855,166.260456,140.28584,4386.931,6206.041,21799.821,6357.342
1245000,"Miami, FL",455866,0.25330771,14041.851,770.70491,196.76407,4210.491,5984.49545,13810.923,1789.74
816000,"Colorado Springs, CO",454512,0.13086948,21514.343,85.870436,71.93674,4847.963,6342.09495,21175.689,7186.193
5182000,"Virginia Beach, VA",450201,0.07807206,18905.939,57.408937,17.06871,4392.658,3438.4801,18627.98,3697.892
3755000,"Raleigh, NC",441128,0.1434918,21376.679,146.220666,135.6118,6466.174,5482.66077,17999.287,5182.671
653000,"Oakland, CA",425097,0.17461627,22884.472,275.364829,475.41938,3953.382,6791.36672,28282.4,7324.789
2743000,"Minneapolis, MN",417039,0.19726545,17758.463,407.055817,370.07332,4818.019,3440.05542,16323.473,5424.349
3137000,"Omaha, NE",411452,0.15863295,16615.433,149.151253,279.12265,5032.926,5431.93278,9012.419,4409.883
4075000,"Tulsa, OK",400704,0.19294342,14044.876,274.174304,141.23488,6055.957,4256.17376,9303.016,3877.923
4804000,"Arlington, TX",395972,0.15902641,17558.347,52.216022,64.38009,5636.389,9063.02208,10009.838,3998.412
1271000,"Tampa, FL",390935,0.1926866,18636.697,170.871354,429.86837,5418.225,3120.39291,19531.268,3734.609
2255000,"New Orleans, LA",390845,0.25203863,15359.576,378.221977,926.52027,8780.942,5263.88088,12534.816,3580.385
3916000,"Cleveland, OH",385442,0.34036907,10800.912,506.013217,530.09625,3454.582,5352.67721,2976.825,2733.44
2079000,"Wichita, KS",359643,0.17602417,11682.92,73.741727,31.5018,5662.86,4262.92655,7484.543,4103.272
1571550,"Honolulu, HI",349925,0.11705363,21760.025,134.690382,96.14513,4372.978,5185.38723,19754.8,1797.861
804000,"Aurora, CO",347084,0.13519151,24363.292,266.615375,115.4783,5794.463,9321.17145,22776.713,6343.59
669000,"Santa Ana, CA",325491,0.18398892,20181.869,135.063098,364.61918,4014.214,5940.12717,13246.987,8261.584
2146027,"Lexington, KY",320601,0.18254514,9821.712,120.756772,94.16278,6443.356,95.65947,12897.37,4202.853
662000,"Riverside, CA",318451,0.16503612,21151.86,81.766403,109.18453,3872.787,7861.8722,16871.025,6696.03
603526,"Bakersfield, CA",316044,0.19763956,15492.372,141.532933,74.52376,3890.365,5510.30931,14347.262,4220.974
4817000,"Corpus Christi, TX",315844,0.16950349,13780.631,127.72403,161.85347,4797.715,6515.60241,9798.977,3277.52
602000,"Anaheim, CA",315266,0.14443493,25339.865,202.875371,141.24924,5554.043,5877.06333,20787.556,8723.567
3915000,"Cincinnati, OH",310301,0.27105431,12559.192,270.846453,851.53154,5314.463,3403.81695,11085.277,3152.441
2965000,"St. Louis, MO",308174,0.23718308,16742.89,287.062888,818.17248,4759.626,6564.80469,8704.636,4085.148
2758000,"St. Paul, MN",304547,0.19590807,13760.53,381.990297,387.26998,4377.485,2995.93562,12528.656,5302.915
4261000,"Pittsburgh, PA",302205,0.21540089,9326.143,479.069041,413.00886,4988.957,1157.54127,8162.873,4328.471
4858016,"Plano, TX",298172,0.07121685,26059.329,17.086403,50.53309,7780.717,7761.48601,15546.698,4233.643
203000,"Anchorage, AK",293531,0.08645058,22974.229,96.546106,230.89607,9750.129,8635.7298,22648.918,2412.728
3231900,"Henderson, NV",293098,0.08839559,24160.891,307.018634,79.78699,6245.782,10281.38083,22263.371,6185.056
675000,"Stockton, CA",283060,0.22240478,13899.866,163.638477,112.09124,4363.538,6840.99985,13841.531,3305.898
1253000,"Orlando, FL",281194,0.18769889,17215.611,320.441151,297.11531,4518.266,2905.60404,17483.701,3947.453
3451000,"Newark, NJ",281054,0.28496739,13431.365,833.052503,670.01762,3214.436,6244.36838,10340.424,5328.733
3977000,"Toledo, OH",276033,0.26271411,8191.118,357.690935,90.09314,4475.833,5659.22914,3108.67,2102.691
3728000,"Greensboro, NC",274274,0.1882481,14193.987,78.044311,213.5301,6302.763,4722.71174,8852.871,4638.523
613392,"Chula Vista, CA",263318,0.11593213,24427.785,70.751065,36.56719,4220.44,7559.77644,27299.014,9284.626
1263000,"St. Petersburg, FL",263013,0.14977593,13261.081,137.053638,197.13322,5229.15,3418.51365,12314.481,3124.101
3436000,"Jersey City, NJ",261940,0.17620978,23289.833,442.911362,201.9603,4592.602,10589.69391,25861.173,6993.577
3611000,"Buffalo, NY",256480,0.29831465,5217.22,474.69362,131.21704,3298.016,1507.43455,4326.062,3320.37
412000,"Chandler, AZ",254892,0.08464939,25472.939,4.781507,55.0842,7698.876,7173.0223,22568.039,7127.274
3128000,"Lincoln, NE",251778,0.16011109,13213.374,62.136114,78.01354,5068.887,4781.20978,9488.003,3338.117
5548000,"Madison, WI",248881,0.18117954,21173.767,263.754411,157.16156,3493.053,6553.53366,15049.211,4357.355
427400,"Gilbert, AZ",245537,0.05875518,30548.119,3.958541,46.70956,7362.785,7568.09472,31371.836,7065.905
5157000,"Norfolk, VA",244601,0.19070385,13646.864,163.424236,80.45738,3835.913,2406.77891,16309.62,2711.299
427820,"Glendale, AZ",244548,0.1887481,15943.269,44.964197,52.88997,4834.752,8468.02647,12768.711,5418.705
465000,"Scottsdale, AZ",241960,0.0856928,30419.284,1.863374,38.90917,7333.06,6147.32685,25033.515,4361.162
636770,"Irvine, CA",241167,0.12589461,28254.226,94.826079,96.414,6082.35,5324.11956,33494.164,2960.856
4829000,"Garland, TX",240563,0.14054246,11744.571,53.480278,27.54916,4681.318,6448.33004,7880.256,3875.18
5116000,"Chesapeake, VA",239982,0.08967871,24849.301,66.849324,12.51861,4379.704,6491.63237,20142.241,5268.274
3251800,"North Las Vegas, NV",239165,0.14517348,20988.151,132.678827,123.98504,4425.923,9243.49147,21987.314,3348.541
4845000,"Lubbock, TX",238668,0.21109814,15610.519,59.516672,360.88693,6006.195,7371.01346,9564.827,3681.794
1230000,"Hialeah, FL",238333,0.23942516,8162.832,26.287598,116.18025,4428.953,4317.61851,6661.396,1561.211
626000,"Fremont, CA",235740,0.05173946,33662.406,120.906952,97.50041,5438.194,6506.80944,34878.716,7557.391
3260600,"Reno, NV",233658,0.16822577,26656.448,922.967769,82.10272,4656.316,11983.305,17724.105,4288.225
5103000,"Arlington, VA",233464,0.07763508,27536.016,229.995345,375.00551,3898.876,3868.43307,37912.707,4158.22
3719000,"Durham, NC",233418,0.1898224,19952.239,106.541975,449.72565,5439.759,5729.61185,15259.909,6732.215
1825000,"Fort Wayne, IN",231527,0.18543788,12890.427,336.194487,212.26211,5071.034,5943.81681,6457.651,2891.925
3254600,"Paradise, NV",231006,0.17919847,28941.618,41.999881,107.37765,3681.949,5866.86687,13483.518,2969.521
665000,"San Bernardino, CA",230683,0.28589593,16517.409,146.61662,191.79254,3471.804,8181.84791,12797.784,4773.255
4837000,"Irving, TX",230580,0.13568597,24797.732,31.851138,118.87789,6699.622,5779.013,15936.214,4056.851
3775000,"Winston-Salem, NC",226687,0.22664599,13550.492,126.60247,171.78589,6819.408,3908.07246,9314.856,3695.241
5167000,"Richmond, VA",226622,0.23486739,17988.896,195.44573,346.15785,4890.784,3805.05923,15840.418,6221.487
4841464,"Laredo, TX",221149,0.30484365,11289.004,81.1531,29.29541,6098.372,4996.00607,6482.776,2933.174
